mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
MCAR,AOYM4KG,10,reg_opt_00001,8.02,4.0,97.99,0.0007,871.94
MCAR,AOYM4KG,10,tree_gp_10000,7.14,3.0,109.42,0.0007,905.4
MCAR,AOYM4KG,10,mlp_opt_0001,3.91,1.0,436.98,0.003,1972.32
MCAR,AOYM4KG,5,mean,12.6,9.0,59.18,0.0004,693.62
MCAR,AOYM4KG,5,reg_opt_00001,8.04,4.0,98.88,0.0007,877.52
MCAR,AOYM4KG,5,tree_gp_10000,7.24,3.0,111.81,0.0008,909.71
MCAR,AOYM4KG,5,mlp_opt_0001,3.88,1.0,447.21,0.003,1982.68
MCAR,AOYM4KG,20,mean,12.46,9.0,57.22,0.0004,693.73
MCAR,AOYM4KG,20,reg_opt_00001,8.18,4.0,91.07,0.0006,861.44
MCAR,AOYM4KG,20,tree_gp_10000,7.3,3.0,106.95,0.0007,895.78
MCAR,AOYM4KG,20,mlp_opt_0001,11.24,8.0,433.19,0.003,1953.84
MCAR,AOYM4KG,25,mean,12.41,9.0,55.19,0.0004,693.76
MCAR,AOYM4KG,25,reg_opt_00001,8.26,4.0,90.67,0.0006,856.51
MCAR,AOYM4KG,25,tree_gp_10000,7.4,4.0,101.7,0.0007,891.88
MCAR,AOYM4KG,25,mlp_opt_0001,4.14,2.0,428.46,0.0029,1944.69
MCAR,AOYM4KG,15,mean,12.44,9.0,54.46,0.0004,693.69
MCAR,AOYM4KG,15,reg_opt_00001,8.09,4.0,90.94,0.0006,866.54
MCAR,AOYM4KG,15,tree_gp_10000,7.19,3.0,109.27,0.0007,898.66
MCAR,AOYM4KG,15,mlp_opt_0001,3.97,1.0,443.15,0.003,1962.44
MCAR,AV2GF3B,15,mean,11.18,8.0,25.46,0.0003,366.95
MCAR,AV2GF3B,15,reg_opt_00001,6.13,4.0,43.99,0.0006,458.41
MCAR,AV2GF3B,15,tree_gp_10000,5.73,4.0,55.66,0.0007,472.43
MCAR,AV2GF3B,15,mlp_opt_0001,9.34,7.0,213.31,0.0028,1038.35
MCAR,AV2GF3B,5,mean,10.89,8.0,26.14,0.0003,366.91
MCAR,AV2GF3B,5,reg_opt_00001,5.92,4.0,49.65,0.0006,464.1
MCAR,AV2GF3B,5,tree_gp_10000,5.49,3.0,64.71,0.0008,479.38
MCAR,AV2GF3B,5,mlp_opt_0001,9.15,7.0,223.07,0.0029,1049.09
MCAR,AV2GF3B,20,mean,11.24,8.0,26.0,0.0003,366.97
MCAR,AV2GF3B,20,reg_opt_00001,6.2,4.0,48.7,0.0006,455.68
MCAR,AV2GF3B,20,tree_gp_10000,5.8,4.0,59.28,0.0008,469.3
MCAR,AV2GF3B,20,mlp_opt_0001,9.51,7.0,221.6,0.0029,1033.59
MCAR,AV2GF3B,10,mean,11.1,8.0,25.69,0.0003,366.93
MCAR,AV2GF3B,10,reg_opt_00001,5.94,4.0,47.79,0.0006,461.23
MCAR,AV2GF3B,10,tree_gp_10000,5.57,4.0,54.71,0.0007,475.75
